Area_of_Residence,Total_Enrollment,Year
New Mexico,224594,2017
New York,1770649,2017
North Carolina,1160278,2017
North Dakota,91273,2017
Ohio,1205680,2017
Oklahoma,518215,2017
Oregon,382362,2017
Pennsylvania,1333311,2017
Rhode Island,95821,2017
South Carolina,680336,2017
South Dakota,117635,2017
Tennessee,730852,2017
Texas,2184565,2017
Utah,202482,2017
Vermont,114318,2017
Virginia,1006445,2017
Washington,769333,2017
West Virginia,276116,2017
Wisconsin,594447,2017
Wyoming,89753,2017
United States,32917866,2018
Alabama,549309,2018
Alaska,82558,2018
Arizona,667159,2018
Arkansas,430945,2018
California,2843447,2018
Colorado,462636,2018
Connecticut,353340,2018
Delaware,158009,2018
District of Columbia,59579,2018
Florida,2178586,2018
Georgia,908825,2018
Hawaii,109402,2018
Idaho,193789,2018
Illinois,1423339,2018
Indiana,781320,2018
Iowa,448324,2018
Kansas,391415,2018
Kentucky,563376,2018
Louisiana,485030,2018
Maine,200351,2018
Maryland,753093,2018
Massachusetts,858688,2018
Michigan,1088152,2018
Minnesota,341971,2018
Mississippi,444256,2018
Missouri,703146,2018
Montana,164146,2018
Nebraska,259899,2018
Nevada,271246,2018
New Hampshire,221068,2018
New Jersey,1035766,2018
New Mexico,228474,2018
New York,1755469,2018
North Carolina,1143737,2018
North Dakota,93749,2018
Ohio,1169818,2018
Oklahoma,518858,2018
Oregon,391341,2018
Pennsylvania,1340143,2018
Rhode Island,95163,2018
South Carolina,685230,2018
South Dakota,121800,2018
Tennessee,724721,2018
Texas,2133051,2018
Utah,206846,2018
Vermont,116196,2018
Virginia,1028192,2018
Washington,774479,2018
West Virginia,269754,2018
Wisconsin,595489,2018
Wyoming,93189,2018
United States,32629236,2019
Alabama,527411,2019
Alaska,86110,2019
Arizona,676356,2019
Arkansas,421619,2019
California,2838741,2019
Colorado,444000,2019
Connecticut,329232,2019
Delaware,158490,2019
District of Columbia,58667,2019
Florida,2161651,2019
Georgia,895562,2019
Hawaii,110268,2019
Idaho,195662,2019
Illinois,1407791,2019
Indiana,764236,2019
Iowa,439857,2019
Kansas,390476,2019
Kentucky,542115,2019
Louisiana,468964,2019
Maine,190287,2019
Maryland,768018,2019
Massachusetts,858362,2019
Michigan,1067472,2019
Minnesota,475704,2019
Mississippi,441939,2019
Missouri,675899,2019
Montana,167693,2019
Nebraska,258853,2019
Nevada,273489,2019
New Hampshire,210911,2019
New Jersey,948753,2019
New Mexico,227611,2019
New York,1741954,2019
North Carolina,1118772,2019
North Dakota,95758,2019
Ohio,1145787,2019
Oklahoma,511044,2019
Oregon,399533,2019
Pennsylvania,1331165,2019
Rhode Island,94029,2019
South Carolina,681622,2019
South Dakota,124053,2019
Tennessee,715397,2019
Texas,2125454,2019
Utah,210019,2019
Vermont,116648,2019
Virginia,1022998,2019
Washington,772329,2019
West Virginia,260464,2019
Wisconsin,583977,2019
Wyoming,96031,2019
United States,31808560,2020
Alabama,497970,2020
Alaska,89855,2020
Arizona,673373,2020
Arkansas,406648,2020
California,2811874,2020
Colorado,440767,2020
Connecticut,313182,2020
Delaware,158358,2020
District of Columbia,56654,2020
Florida,2114901,2020
Georgia,864476,2020
Hawaii,109728,2020
Idaho,194842,2020
Illinois,1366982,2020
Indiana,730756,2020
Iowa,433813,2020
Kansas,385104,2020
Kentucky,507839,2020
Louisiana,449338,2020
Maine,175818,2020
Maryland,776135,2020
Massachusetts,850909,2020
Michigan,965132,2020
Minnesota,459801,2020
Mississippi,426882,2020
Missouri,653823,2020
Montana,170600,2020
Nebraska,253483,2020
Nevada,270824,2020
New Hampshire,207508,2020
New Jersey,924048,2020
New Mexico,221908,2020
New York,1703856,2020
North Carolina,1080504,2020
North Dakota,96215,2020
Ohio,1105358,2020
Oklahoma,497477,2020
Oregon,398036,2020
Pennsylvania,1301272,2020
Rhode Island,91735,2020
South Carolina,666374,2020
South Dakota,124319,2020
Tennessee,698035,2020
Texas,2082082,2020
Utah,208036,2020
Vermont,116612,2020
Virginia,1001391,2020
Washington,760707,2020
West Virginia,245950,2020
Wisconsin,568156,2020
Wyoming,99112,2020
United States,30422764,2021
Alabama,450195,2021
Alaska,92803,2021
Arizona,653035,2021
Arkansas,383059,2021
California,2751300,2021
Colorado,432255,2021
Connecticut,295958,2021
Delaware,154026,2021
District of Columbia,54150,2021
Florida,2057988,2021
Georgia,806085,2021
Hawaii,108044,2021
Idaho,190669,2021
Illinois,1295211,2021
Indiana,683160,2021
Iowa,422497,2021
Kansas,370465,2021
Kentucky,465452,2021
Louisiana,410854,2021
Maine,160394,2021
Maryland,752756,2021
Massachusetts,835463,2021
Michigan,893079,2021
Minnesota,430643,2021
Mississippi,393472,2021
Missouri,613608,2021
Montana,169349,2021
Nebraska,243152,2021
Nevada,259991,2021
New Hampshire,201878,2021
New Jersey,890274,2021
New Mexico,212662,2021
New York,1651049,2021
North Carolina,1015918,2021
North Dakota,94554,2021
Ohio,1055768,2021
Oklahoma,462692,2021
Oregon,389141,2021
Pennsylvania,1255740,2021
Rhode Island,86714,2021
South Carolina,639090,2021
South Dakota,121832,2021
Tennessee,666869,2021
Texas,1970810,2021
Utah,201648,2021
Vermont,111585,2021
Virginia,955601,2021
Washington,737540,2021
West Virginia,225000,2021
Wisconsin,545957,2021
Wyoming,101334,2021
