fips,Prevalence
1001, 
1003,0.1
1005, 
1007, 
1009, 
1011,0
1013, 
1015,0.2
1017, 
1019, 
1021, 
1023,0
1025, 
1027,0
1029, 
1031, 
1033,0.2
1035, 
1037, 
1039, 
1041, 
1043,0.1
1045,0.2
1047, 
1049, 
1051,0.1
1053, 
1055,0.2
1057, 
1059, 
1061, 
1063,0
1065, 
1067, 
1069,0.2
1071, 
1073,0.3
1075, 
1077,0.2
1079, 
1081,0.2
1083,0.2
1085, 
1087, 
1089,0.2
1091, 
1093, 
1095,0.1
1097,0.3
1099, 
1101,0.2
1103,0.2
1105,0
1107, 
1109,0
1111, 
1113, 
1117,0.2
1115, 
1119, 
1121,0.1
1123, 
1125,0.2
1999, 
1127,0.2
1129, 
1131, 
1133, 
  ,0.3
2013,0
2016,0
2020,0.3
2050, 
2060,0
2068,0
2070,0
2090,0.7
2100,0
2105, 
2110, 
2122,0.2
2130, 
2150, 
2158,0
2164,0
2170,0.2
2180,0
2185,0
2188, 
2195,0
2198, 
2201,0
2220, 
2230,0
2232,0
2240,0
2999, 
2261,0
2270,0
2275,0
2280,0
2282,0
2290,0
  ,0.1
4001, 
4003,0.1
4005, 
4007, 
4009, 
4011, 
4012, 
4013,0.1
4015,0
4017, 
4019,0.1
4021,0.1
4023,0
4999, 
4025,0.1
4027,0.1
  ,0.2
5001, 
5003, 
5005,0.1
5007,0.2
5009,0.2
5011, 
5013, 
5015,0.3
5017, 
5019, 
5021, 
5023,0.2
5025, 
5027, 
5029, 
5031,0.1
5033,0.1
5035, 
5037, 
5039, 
5041, 
5043, 
5045,0.1
5047, 
5049, 
5051,0.1
5053, 
5055, 
5057, 
5059, 
5061, 
5063, 
5065, 
5067, 
5069,0.2
5071, 
5073,0
5075, 
5077, 
5079, 
5081, 
5083, 
5085,0.1
5087, 
5089, 
5091, 
5093, 
5095, 
5097, 
5099, 
5101, 
5103, 
5105,0
5107, 
5109, 
5111, 
5113, 
5115,0.2
5117, 
5119,0.2
5121, 
5125,0.1
5127, 
5129, 
5131,0.2
5133, 
5135, 
5123, 
5137,0
5139, 
5999, 
5141, 
5143,0.3
5145,0.2
5147, 
5149, 
  ,0.2
6001,0.3
6003,0
6005, 
6007,0.2
6009, 
6011, 
6013,0.1
6015, 
6017,0.1
6019,0.2
6021, 
6023,0.2
6025,0.1
6027, 
6029,0.2
6031, 
6033,0.1
6035, 
6037,0.3
6039,0.1
6041,0.1
6043, 
6045,0.3
6047,0.1
6049, 
6051,0
6053,0.1
6055,0.7
6057,0.2
6059,0.2
6061,0.2
6063, 
6065,0.2
6067,0.4
6069, 
6071,0.4
6073,0.2
6075,0.2
6077,0.1
6079,0.4
6081,0.1
6083,0.1
6085,0.2
6087,0.1
6089,0.3
6091,0
6093,0.2
6095,0.1
6097,0.2
6099,0.2
6101,0.1
6103,0.1
6105, 
6107,0.1
6109,0.1
6999, 
6111,0.2
6113,0.2
6115,0.2
  ,0.2
8001,0.2
8003, 
8005,0.3
8007, 
8009, 
8011, 
8013,0.3
8014, 
8015, 
8017,0
8019, 
8021,0
8023,0
8025,0
8027, 
8029,0
8031,0.2
8033,0
8035,0.1
8037, 
8041,0.3
8039, 
8043, 
8045, 
8047,0
8049, 
8051, 
8053,0
8055,0
8057,0
8059,0.2
8061,0
8063, 
8067,0.2
8065,0
8069,0.2
8071, 
8073,0
8075, 
8077,0.2
8079,0
8081, 
8083, 
8085, 
8087, 
8089, 
8091,0
8093, 
8095,0
8097, 
8099, 
8101,0.2
8103,0
8105, 
8107, 
8109,0
8111,0
8113,0
8115,0
8117, 
8119, 
8999, 
8121,0
8123,0.2
8125,0
  ,0.5
9001,0.3
9003,0.6
9005,0.4
9007,0.5
9009,0.5
9011,0.6
9013,0.4
9999, 
9015,0.5
  ,0.3
10001,0.7
10003,0.3
10005,0.1
10999, 
  ,0.2
  ,0.2
12001,0.4
12003, 
12005,0.1
12007, 
12009,0.1
12011,0.3
12013,0
12015,0.1
12017,0.1
12019,0.2
12021,0.1
12023,0.2
12027, 
12029, 
12031,0.2
12033,0.2
12035,0.2
12037, 
12039,0.3
12041, 
12043, 
12045, 
12047, 
12049, 
12051, 
12053,0.2
12055,0.1
12057,0.3
12059, 
12061,0.2
12063,0.2
12065,0
12067, 
12069,0.1
12071,0.1
12073,0.3
12075, 
12077, 
12079, 
12081,0.1
12083,0.1
12085,0.1
12086,0.4
12087, 
12089,0.1
12091,0.1
12093, 
12095,0.3
12097,0.2
12099,0.1
12101,0.2
12103,0.3
12105,0.2
12107,0.2
12113,0.2
12115,0.1
12117,0.2
12109,0.1
12111,0.2
12119,0.1
12121,0.1
12123, 
12125, 
12999, 
12127,0.2
12129, 
12131, 
12133, 
  ,0.2
13001, 
13003,0
13005,0
13007, 
13009,0.3
13011, 
13013,0.2
13015,0.2
13017, 
13019, 
13021,0.3
13023, 
13025, 
13027, 
13029,0
13031,0.2
13033, 
13035, 
13037,0
13039,0.2
13043, 
13045,0.2
13047, 
13049, 
13051,0.2
13053,0
13055, 
13057,0.1
13059,0.4
13061, 
13063,0.4
13065, 
13067,0.2
13069, 
13071, 
13073,0.3
13075, 
13077,0.1
13079, 
13081, 
13083, 
13085, 
13089,0.5
13087, 
13091, 
13093, 
13095,0.4
13097,0.3
13099, 
13101,0
13103,0.3
13105, 
13107, 
13109, 
13111, 
13113,0.1
13115,0.2
13117,0.1
13119, 
13121,0.2
13123, 
13125,0
13127,0.1
13129, 
13131, 
13133, 
13135,0.2
13137,0.2
13139,0.2
13141, 
13143, 
13145, 
13147, 
13149, 
13151,0.2
13153,0.2
13155, 
13157, 
13159, 
13161, 
13163, 
13165, 
13167,0
13169, 
13171, 
13173, 
13175, 
13177, 
13179, 
13181, 
13183, 
13185,0.3
13187, 
13193, 
13195, 
13197, 
13189, 
13191, 
13199, 
13201, 
13205, 
13207, 
13209, 
13211, 
13213, 
13215,0.2
13217,0.3
13219, 
13221,0
13223,0.2
13225, 
13227, 
13229, 
13231, 
13233, 
13235, 
13237, 
13239, 
13241, 
13243, 
13245,0.2
13247,0.2
13249, 
13251, 
13253, 
13255, 
13257, 
13259, 
13261, 
13263, 
13265,0
13267, 
13269, 
13271, 
13273, 
13275,0.3
13277, 
13279, 
13281, 
13283,0
13285,0.2
13287, 
13289, 
13291, 
13999, 
13293, 
13295,0.1
13297,0.2
13299, 
13301, 
13303, 
13305, 
13307, 
13309, 
13311, 
13313,0.2
13315, 
13317, 
13319, 
13321, 
  ,0.1
15001,0.1
15003,0.1
15005,0
15007, 
15009,0.1
15999, 
  ,0.3
16001,0.5
16003,0
16005,0.5
16007, 
16009, 
16011,0.3
16013, 
16015, 
16017,0.3
16019,0.6
16021, 
16023,0
16025,0
16027,0.4
16029,0
16031, 
16033,0
16035, 
16037, 
16039, 
16041, 
16043, 
16045, 
16047, 
16049, 
16051,0.4
16053, 
16055,0.3
16057,0.4
16059, 
16061,0
16063,0
16065, 
16067, 
16069,0.2
16071,0
16073, 
16075,0.4
16077, 
16079,0.3
16081, 
16083,0.3
16999, 
16085, 
16087, 
  ,0.2
17001,0.1
17003, 
17005, 
17007,0.2
17009,0
17011,0.2
17013,0
17015, 
17017, 
17019,0.6
17021, 
17023, 
17025, 
17027,0.4
17029,0.3
17031,0.3
17033, 
17035,0
17037,0.4
17039, 
17041,0
17043,0.2
17045, 
